sample,config,baseline_miou,degraded_miou,miou_drop,sensitivity,geo_exp,geo_shift,ling_err,vis_sigma,n_pred_masks,n_gt_masks
synthetic_000,geo_20_10_ling_0_vis_0,0.8249,0.6982,0.1267,0.001267,20,10,0.0,0,5,1
synthetic_000,geo_20_10_ling_0_vis_10,0.8249,0.4062,0.4187,0.003489,20,10,0.0,10,6,1
synthetic_000,geo_20_10_ling_0_vis_25,0.8249,0.4055,0.4194,0.002796,20,10,0.0,25,5,1
synthetic_000,geo_20_10_ling_0_vis_50,0.8249,0.1366,0.6884,0.003442,20,10,0.0,50,6,1
synthetic_000,geo_20_10_ling_10_vis_0,0.8249,0.597,0.2279,0.002072,20,10,0.1,0,5,1
synthetic_000,geo_20_10_ling_10_vis_10,0.8249,0.6005,0.2244,0.001726,20,10,0.1,10,7,1
synthetic_000,geo_20_10_ling_10_vis_25,0.8249,0.3177,0.5072,0.00317,20,10,0.1,25,2,1
synthetic_000,geo_20_10_ling_10_vis_50,0.8249,0.3835,0.4414,0.002102,20,10,0.1,50,2,1
synthetic_000,geo_20_10_ling_20_vis_0,0.8249,0.6066,0.2183,0.001819,20,10,0.2,0,7,1
synthetic_000,geo_20_10_ling_20_vis_10,0.8249,0.4923,0.3326,0.002376,20,10,0.2,10,2,1
synthetic_000,geo_20_10_ling_20_vis_25,0.8249,0.427,0.3979,0.002341,20,10,0.2,25,4,1
synthetic_000,geo_20_10_ling_20_vis_50,0.8249,0.3344,0.4905,0.00223,20,10,0.2,50,2,1
synthetic_000,geo_20_10_ling_30_vis_0,0.8249,0.5252,0.2997,0.002305,20,10,0.3,0,5,1
synthetic_000,geo_20_10_ling_30_vis_10,0.8249,0.5249,0.3,0.002,20,10,0.3,10,3,1
synthetic_000,geo_20_10_ling_30_vis_25,0.8249,0.3073,0.5176,0.002875,20,10,0.3,25,2,1
synthetic_000,geo_20_10_ling_30_vis_50,0.8249,0.1898,0.6351,0.002761,20,10,0.3,50,7,1
synthetic_000,geo_30_15_ling_0_vis_0,0.8249,0.5496,0.2753,0.001835,30,15,0.0,0,5,1
synthetic_000,geo_30_15_ling_0_vis_10,0.8249,0.5426,0.2823,0.001661,30,15,0.0,10,4,1
synthetic_000,geo_30_15_ling_0_vis_25,0.8249,0.4308,0.3941,0.001971,30,15,0.0,25,3,1
synthetic_000,geo_30_15_ling_0_vis_50,0.8249,0.1051,0.7198,0.002879,30,15,0.0,50,4,1
synthetic_000,geo_30_15_ling_10_vis_0,0.8249,0.3325,0.4924,0.003078,30,15,0.1,0,4,1
synthetic_000,geo_30_15_ling_10_vis_10,0.8249,0.4802,0.3447,0.001915,30,15,0.1,10,6,1
synthetic_000,geo_30_15_ling_10_vis_25,0.8249,0.1713,0.6536,0.003112,30,15,0.1,25,3,1
synthetic_000,geo_30_15_ling_10_vis_50,0.8249,0.1823,0.6426,0.002472,30,15,0.1,50,4,1
synthetic_000,geo_30_15_ling_20_vis_0,0.8249,0.4428,0.3821,0.002248,30,15,0.2,0,2,1
synthetic_000,geo_30_15_ling_20_vis_10,0.8249,0.3325,0.4924,0.002591,30,15,0.2,10,2,1
synthetic_000,geo_30_15_ling_20_vis_25,0.8249,0.4287,0.3962,0.001801,30,15,0.2,25,3,1
synthetic_000,geo_30_15_ling_20_vis_50,0.8249,0.0,0.9108,0.003373,30,15,0.2,50,5,1
synthetic_000,geo_30_15_ling_30_vis_0,0.8249,0.3707,0.4542,0.002523,30,15,0.3,0,5,1
synthetic_000,geo_30_15_ling_30_vis_10,0.8249,0.3057,0.5192,0.002596,30,15,0.3,10,4,1
synthetic_000,geo_30_15_ling_30_vis_25,0.8249,0.3738,0.4511,0.001961,30,15,0.3,25,4,1
synthetic_000,geo_30_15_ling_30_vis_50,0.8249,0.0,0.8782,0.003137,30,15,0.3,50,7,1
synthetic_001,geo_0_0_ling_0_vis_0,0.906,0.9014,0.0045,0.004526,0,0,0.0,0,4,1
synthetic_001,geo_0_0_ling_0_vis_10,0.906,0.8441,0.0618,0.003092,0,0,0.0,10,2,1
synthetic_001,geo_0_0_ling_0_vis_25,0.906,0.7273,0.1787,0.003573,0,0,0.0,25,6,1
synthetic_001,geo_0_0_ling_0_vis_50,0.906,0.7016,0.2043,0.002043,0,0,0.0,50,2,1
synthetic_001,geo_0_0_ling_10_vis_0,0.906,0.906,0.0,0.0,0,0,0.1,0,4,1
synthetic_001,geo_0_0_ling_10_vis_10,0.906,0.822,0.084,0.002798,0,0,0.1,10,2,1
synthetic_001,geo_0_0_ling_10_vis_25,0.906,0.7054,0.2006,0.003343,0,0,0.1,25,7,1
synthetic_001,geo_0_0_ling_10_vis_50,0.906,0.6844,0.2216,0.002015,0,0,0.1,50,7,1
synthetic_001,geo_0_0_ling_20_vis_0,0.906,0.8186,0.0874,0.004368,0,0,0.2,0,4,1
synthetic_001,geo_0_0_ling_20_vis_10,0.906,0.783,0.123,0.003075,0,0,0.2,10,7,1
synthetic_001,geo_0_0_ling_20_vis_25,0.906,0.6937,0.2123,0.003033,0,0,0.2,25,5,1
synthetic_001,geo_0_0_ling_20_vis_50,0.906,0.5447,0.3613,0.003011,0,0,0.2,50,4,1
synthetic_001,geo_0_0_ling_30_vis_0,0.906,0.8269,0.0791,0.002636,0,0,0.3,0,7,1
synthetic_001,geo_0_0_ling_30_vis_10,0.906,0.7357,0.1703,0.003406,0,0,0.3,10,4,1
synthetic_001,geo_0_0_ling_30_vis_25,0.906,0.6689,0.2371,0.002964,0,0,0.3,25,7,1
synthetic_001,geo_0_0_ling_30_vis_50,0.906,0.4528,0.4532,0.003486,0,0,0.3,50,4,1
synthetic_001,geo_10_5_ling_0_vis_0,0.906,0.7373,0.1687,0.003374,10,5,0.0,0,2,1
synthetic_001,geo_10_5_ling_0_vis_10,0.906,0.7661,0.1399,0.001998,10,5,0.0,10,3,1
synthetic_001,geo_10_5_ling_0_vis_25,0.906,0.6412,0.2648,0.002648,10,5,0.0,25,7,1
synthetic_001,geo_10_5_ling_0_vis_50,0.906,0.6441,0.2619,0.001746,10,5,0.0,50,7,1
synthetic_001,geo_10_5_ling_10_vis_0,0.906,0.79,0.1159,0.001932,10,5,0.1,0,3,1
synthetic_001,geo_10_5_ling_10_vis_10,0.906,0.688,0.218,0.002725,10,5,0.1,10,2,1
synthetic_001,geo_10_5_ling_10_vis_25,0.906,0.7019,0.2041,0.001855,10,5,0.1,25,3,1
synthetic_001,geo_10_5_ling_10_vis_50,0.906,0.3714,0.5346,0.003341,10,5,0.1,50,4,1
synthetic_001,geo_10_5_ling_20_vis_0,0.906,0.7798,0.1262,0.001803,10,5,0.2,0,2,1
synthetic_001,geo_10_5_ling_20_vis_10,0.906,0.654,0.2519,0.002799,10,5,0.2,10,5,1
synthetic_001,geo_10_5_ling_20_vis_25,0.906,0.5509,0.3551,0.002959,10,5,0.2,25,5,1
synthetic_001,geo_10_5_ling_20_vis_50,0.906,0.3365,0.5695,0.00335,10,5,0.2,50,5,1
synthetic_001,geo_10_5_ling_30_vis_0,0.906,0.6556,0.2504,0.00313,10,5,0.3,0,4,1
synthetic_001,geo_10_5_ling_30_vis_10,0.906,0.6764,0.2296,0.002296,10,5,0.3,10,7,1
synthetic_001,geo_10_5_ling_30_vis_25,0.906,0.6448,0.2612,0.002009,10,5,0.3,25,5,1
synthetic_001,geo_10_5_ling_30_vis_50,0.906,0.6204,0.2856,0.001587,10,5,0.3,50,7,1
synthetic_001,geo_20_10_ling_0_vis_0,0.906,0.6292,0.2767,0.002767,20,10,0.0,0,5,1
synthetic_001,geo_20_10_ling_0_vis_10,0.906,0.6844,0.2216,0.001846,20,10,0.0,10,6,1
synthetic_001,geo_20_10_ling_0_vis_25,0.906,0.5516,0.3544,0.002362,20,10,0.0,25,7,1
synthetic_001,geo_20_10_ling_0_vis_50,0.906,0.381,0.525,0.002625,20,10,0.0,50,5,1
synthetic_001,geo_20_10_ling_10_vis_0,0.906,0.7139,0.1921,0.001746,20,10,0.1,0,4,1
synthetic_001,geo_20_10_ling_10_vis_10,0.906,0.6066,0.2994,0.002303,20,10,0.1,10,3,1
synthetic_001,geo_20_10_ling_10_vis_25,0.906,0.6733,0.2327,0.001454,20,10,0.1,25,3,1
synthetic_001,geo_20_10_ling_10_vis_50,0.906,0.1734,0.7326,0.003489,20,10,0.1,50,3,1
synthetic_001,geo_20_10_ling_20_vis_0,0.906,0.6647,0.2412,0.00201,20,10,0.2,0,6,1
synthetic_001,geo_20_10_ling_20_vis_10,0.906,0.4778,0.4282,0.003058,20,10,0.2,10,6,1
synthetic_001,geo_20_10_ling_20_vis_25,0.906,0.4734,0.4326,0.002545,20,10,0.2,25,4,1
synthetic_001,geo_20_10_ling_20_vis_50,0.906,0.2522,0.6538,0.002972,20,10,0.2,50,2,1
synthetic_001,geo_20_10_ling_30_vis_0,0.906,0.6081,0.2979,0.002291,20,10,0.3,0,5,1
synthetic_001,geo_20_10_ling_30_vis_10,0.906,0.617,0.289,0.001926,20,10,0.3,10,7,1
synthetic_001,geo_20_10_ling_30_vis_25,0.906,0.4085,0.4974,0.002764,20,10,0.3,25,3,1
synthetic_001,geo_20_10_ling_30_vis_50,0.906,0.2626,0.6434,0.002797,20,10,0.3,50,3,1
synthetic_001,geo_30_15_ling_0_vis_0,0.906,0.492,0.414,0.00276,30,15,0.0,0,3,1
synthetic_001,geo_30_15_ling_0_vis_10,0.906,0.6337,0.2723,0.001602,30,15,0.0,10,4,1
synthetic_001,geo_30_15_ling_0_vis_25,0.906,0.2706,0.6354,0.003177,30,15,0.0,25,2,1
synthetic_001,geo_30_15_ling_0_vis_50,0.906,0.2657,0.6403,0.002561,30,15,0.0,50,4,1
synthetic_001,geo_30_15_ling_10_vis_0,0.906,0.3806,0.5253,0.003283,30,15,0.1,0,3,1
synthetic_001,geo_30_15_ling_10_vis_10,0.906,0.5526,0.3533,0.001963,30,15,0.1,10,6,1
synthetic_001,geo_30_15_ling_10_vis_25,0.906,0.5562,0.3498,0.001665,30,15,0.1,25,2,1
synthetic_001,geo_30_15_ling_10_vis_50,0.906,0.1875,0.7185,0.002764,30,15,0.1,50,6,1
synthetic_001,geo_30_15_ling_20_vis_0,0.906,0.3762,0.5298,0.003117,30,15,0.2,0,6,1
synthetic_001,geo_30_15_ling_20_vis_10,0.906,0.4957,0.4103,0.002159,30,15,0.2,10,4,1
synthetic_001,geo_30_15_ling_20_vis_25,0.906,0.1736,0.7323,0.003329,30,15,0.2,25,2,1
synthetic_001,geo_30_15_ling_20_vis_50,0.906,0.1925,0.7135,0.002643,30,15,0.2,50,6,1
synthetic_001,geo_30_15_ling_30_vis_0,0.906,0.4015,0.5045,0.002803,30,15,0.3,0,7,1
synthetic_001,geo_30_15_ling_30_vis_10,0.906,0.4056,0.5003,0.002502,30,15,0.3,10,5,1
synthetic_001,geo_30_15_ling_30_vis_25,0.906,0.3471,0.5588,0.00243,30,15,0.3,25,2,1
synthetic_001,geo_30_15_ling_30_vis_50,0.906,0.2582,0.6478,0.002314,30,15,0.3,50,2,1
synthetic_002,geo_0_0_ling_0_vis_0,0.8511,0.8374,0.0136,0.013639,0,0,0.0,0,2,1
synthetic_002,geo_0_0_ling_0_vis_10,0.8511,0.8251,0.0259,0.001297,0,0,0.0,10,6,1
synthetic_002,geo_0_0_ling_0_vis_25,0.8511,0.6909,0.1601,0.003202,0,0,0.0,25,7,1
synthetic_002,geo_0_0_ling_0_vis_50,0.8511,0.578,0.2731,0.002731,0,0,0.0,50,5,1
synthetic_002,geo_0_0_ling_10_vis_0,0.8511,0.8409,0.0101,0.00101,0,0,0.1,0,4,1
synthetic_002,geo_0_0_ling_10_vis_10,0.8511,0.7281,0.123,0.0041,0,0,0.1,10,5,1
synthetic_002,geo_0_0_ling_10_vis_25,0.8511,0.6649,0.1861,0.003102,0,0,0.1,25,2,1
synthetic_002,geo_0_0_ling_10_vis_50,0.8511,0.6477,0.2033,0.001848,0,0,0.1,50,6,1
synthetic_002,geo_0_0_ling_20_vis_0,0.8511,0.7998,0.0513,0.002565,0,0,0.2,0,6,1
synthetic_002,geo_0_0_ling_20_vis_10,0.8511,0.7456,0.1054,0.002635,0,0,0.2,10,6,1
synthetic_002,geo_0_0_ling_20_vis_25,0.8511,0.6846,0.1664,0.002377,0,0,0.2,25,6,1
synthetic_002,geo_0_0_ling_20_vis_50,0.8511,0.4427,0.4084,0.003403,0,0,0.2,50,7,1
synthetic_002,geo_0_0_ling_30_vis_0,0.8511,0.7734,0.0776,0.002588,0,0,0.3,0,6,1
synthetic_002,geo_0_0_ling_30_vis_10,0.8511,0.7481,0.103,0.002059,0,0,0.3,10,6,1
synthetic_002,geo_0_0_ling_30_vis_25,0.8511,0.6861,0.1649,0.002062,0,0,0.3,25,6,1
synthetic_002,geo_0_0_ling_30_vis_50,0.8511,0.562,0.289,0.002223,0,0,0.3,50,4,1
synthetic_002,geo_10_5_ling_0_vis_0,0.8511,0.7657,0.0854,0.001708,10,5,0.0,0,6,1
synthetic_002,geo_10_5_ling_0_vis_10,0.8511,0.782,0.0691,0.000987,10,5,0.0,10,5,1
synthetic_002,geo_10_5_ling_0_vis_25,0.8511,0.5697,0.2813,0.002813,10,5,0.0,25,2,1
synthetic_002,geo_10_5_ling_0_vis_50,0.8511,0.3874,0.4636,0.003091,10,5,0.0,50,4,1
synthetic_002,geo_10_5_ling_10_vis_0,0.8511,0.6932,0.1578,0.00263,10,5,0.1,0,2,1
synthetic_002,geo_10_5_ling_10_vis_10,0.8511,0.7098,0.1413,0.001766,10,5,0.1,10,2,1
synthetic_002,geo_10_5_ling_10_vis_25,0.8511,0.6355,0.2156,0.00196,10,5,0.1,25,4,1
synthetic_002,geo_10_5_ling_10_vis_50,0.8511,0.2973,0.5538,0.003461,10,5,0.1,50,5,1
synthetic_002,geo_10_5_ling_20_vis_0,0.8511,0.668,0.183,0.002615,10,5,0.2,0,2,1
synthetic_002,geo_10_5_ling_20_vis_10,0.8511,0.6671,0.184,0.002044,10,5,0.2,10,2,1
synthetic_002,geo_10_5_ling_20_vis_25,0.8511,0.503,0.3481,0.002901,10,5,0.2,25,2,1
synthetic_002,geo_10_5_ling_20_vis_50,0.8511,0.2812,0.5699,0.003352,10,5,0.2,50,3,1
synthetic_002,geo_10_5_ling_30_vis_0,0.8511,0.5812,0.2698,0.003373,10,5,0.3,0,5,1
synthetic_002,geo_10_5_ling_30_vis_10,0.8511,0.6144,0.2367,0.002367,10,5,0.3,10,3,1
synthetic_002,geo_10_5_ling_30_vis_25,0.8511,0.6496,0.2014,0.001549,10,5,0.3,25,3,1
synthetic_002,geo_10_5_ling_30_vis_50,0.8511,0.4958,0.3552,0.001973,10,5,0.3,50,6,1
synthetic_002,geo_20_10_ling_0_vis_0,0.8511,0.5444,0.3066,0.003066,20,10,0.0,0,5,1
synthetic_002,geo_20_10_ling_0_vis_10,0.8511,0.5191,0.3319,0.002766,20,10,0.0,10,6,1
synthetic_002,geo_20_10_ling_0_vis_25,0.8511,0.5524,0.2986,0.001991,20,10,0.0,25,2,1
synthetic_002,geo_20_10_ling_0_vis_50,0.8511,0.4184,0.4327,0.002163,20,10,0.0,50,7,1
synthetic_002,geo_20_10_ling_10_vis_0,0.8511,0.4719,0.3791,0.003447,20,10,0.1,0,2,1
synthetic_002,geo_20_10_ling_10_vis_10,0.8511,0.5675,0.2836,0.002181,20,10,0.1,10,3,1
synthetic_002,geo_20_10_ling_10_vis_25,0.8511,0.4915,0.3596,0.002247,20,10,0.1,25,4,1
synthetic_002,geo_20_10_ling_10_vis_50,0.8511,0.4551,0.396,0.001886,20,10,0.1,50,6,1
synthetic_002,geo_20_10_ling_20_vis_0,0.8511,0.6523,0.1987,0.001656,20,10,0.2,0,6,1
synthetic_002,geo_20_10_ling_20_vis_10,0.8511,0.3559,0.4951,0.003536,20,10,0.2,10,6,1
synthetic_002,geo_20_10_ling_20_vis_25,0.8511,0.3786,0.4724,0.002779,20,10,0.2,25,4,1
synthetic_002,geo_20_10_ling_20_vis_50,0.8511,0.396,0.4551,0.002069,20,10,0.2,50,7,1
synthetic_002,geo_20_10_ling_30_vis_0,0.8511,0.6197,0.2313,0.00178,20,10,0.3,0,5,1
synthetic_002,geo_20_10_ling_30_vis_10,0.8511,0.5762,0.2749,0.001832,20,10,0.3,10,2,1
synthetic_002,geo_20_10_ling_30_vis_25,0.8511,0.3086,0.5425,0.003014,20,10,0.3,25,7,1
synthetic_002,geo_20_10_ling_30_vis_50,0.8511,0.1593,0.6917,0.003008,20,10,0.3,50,4,1
synthetic_002,geo_30_15_ling_0_vis_0,0.8511,0.545,0.3061,0.00204,30,15,0.0,0,6,1
synthetic_002,geo_30_15_ling_0_vis_10,0.8511,0.3344,0.5167,0.003039,30,15,0.0,10,3,1
synthetic_002,geo_30_15_ling_0_vis_25,0.8511,0.2244,0.6267,0.003133,30,15,0.0,25,3,1
synthetic_002,geo_30_15_ling_0_vis_50,0.8511,0.2847,0.5663,0.002265,30,15,0.0,50,3,1
synthetic_002,geo_30_15_ling_10_vis_0,0.8511,0.4247,0.4264,0.002665,30,15,0.1,0,3,1
synthetic_002,geo_30_15_ling_10_vis_10,0.8511,0.4534,0.3977,0.002209,30,15,0.1,10,7,1
synthetic_002,geo_30_15_ling_10_vis_25,0.8511,0.3519,0.4991,0.002377,30,15,0.1,25,3,1
synthetic_002,geo_30_15_ling_10_vis_50,0.8511,0.0019,0.8491,0.003266,30,15,0.1,50,6,1
synthetic_002,geo_30_15_ling_20_vis_0,0.8511,0.301,0.55,0.003236,30,15,0.2,0,2,1
synthetic_002,geo_30_15_ling_20_vis_10,0.8511,0.4708,0.3803,0.002001,30,15,0.2,10,6,1
synthetic_002,geo_30_15_ling_20_vis_25,0.8511,0.1312,0.7199,0.003272,30,15,0.2,25,4,1
synthetic_002,geo_30_15_ling_20_vis_50,0.8511,0.1348,0.7162,0.002653,30,15,0.2,50,4,1
synthetic_002,geo_30_15_ling_30_vis_0,0.8511,0.5758,0.2753,0.001529,30,15,0.3,0,2,1
synthetic_002,geo_30_15_ling_30_vis_10,0.8511,0.1826,0.6685,0.003342,30,15,0.3,10,4,1
synthetic_002,geo_30_15_ling_30_vis_25,0.8511,0.2675,0.5835,0.002537,30,15,0.3,25,4,1
synthetic_002,geo_30_15_ling_30_vis_50,0.8511,0.4011,0.4499,0.001607,30,15,0.3,50,6,1
synthetic_003,geo_0_0_ling_0_vis_0,0.819,0.818,0.001,0.001017,0,0,0.0,0,6,1
synthetic_003,geo_0_0_ling_0_vis_10,0.819,0.7804,0.0387,0.001933,0,0,0.0,10,3,1
synthetic_003,geo_0_0_ling_0_vis_25,0.819,0.6621,0.1569,0.003139,0,0,0.0,25,4,1
synthetic_003,geo_0_0_ling_0_vis_50,0.819,0.6775,0.1415,0.001415,0,0,0.0,50,2,1
synthetic_003,geo_0_0_ling_10_vis_0,0.819,0.7919,0.0271,0.002707,0,0,0.1,0,4,1
synthetic_003,geo_0_0_ling_10_vis_10,0.819,0.6793,0.1397,0.004657,0,0,0.1,10,6,1
synthetic_003,geo_0_0_ling_10_vis_25,0.819,0.7251,0.0939,0.001565,0,0,0.1,25,7,1
synthetic_003,geo_0_0_ling_10_vis_50,0.819,0.6014,0.2177,0.001979,0,0,0.1,50,5,1
synthetic_003,geo_0_0_ling_20_vis_0,0.819,0.7414,0.0777,0.003883,0,0,0.2,0,7,1
synthetic_003,geo_0_0_ling_20_vis_10,0.819,0.7522,0.0668,0.001671,0,0,0.2,10,4,1
synthetic_003,geo_0_0_ling_20_vis_25,0.819,0.6136,0.2054,0.002935,0,0,0.2,25,5,1
synthetic_003,geo_0_0_ling_20_vis_50,0.819,0.5939,0.2251,0.001876,0,0,0.2,50,3,1
synthetic_003,geo_0_0_ling_30_vis_0,0.819,0.7702,0.0488,0.001627,0,0,0.3,0,6,1
synthetic_003,geo_0_0_ling_30_vis_10,0.819,0.7303,0.0887,0.001774,0,0,0.3,10,2,1
synthetic_003,geo_0_0_ling_30_vis_25,0.819,0.563,0.256,0.0032,0,0,0.3,25,2,1
synthetic_003,geo_0_0_ling_30_vis_50,0.819,0.41,0.409,0.003146,0,0,0.3,50,5,1
synthetic_003,geo_10_5_ling_0_vis_0,0.819,0.6698,0.1493,0.002985,10,5,0.0,0,3,1
synthetic_003,geo_10_5_ling_0_vis_10,0.819,0.728,0.091,0.0013,10,5,0.0,10,7,1
synthetic_003,geo_10_5_ling_0_vis_25,0.819,0.5605,0.2586,0.002586,10,5,0.0,25,4,1
synthetic_003,geo_10_5_ling_0_vis_50,0.819,0.4487,0.3703,0.002468,10,5,0.0,50,6,1
synthetic_003,geo_10_5_ling_10_vis_0,0.819,0.6669,0.1521,0.002535,10,5,0.1,0,4,1
synthetic_003,geo_10_5_ling_10_vis_10,0.819,0.503,0.316,0.00395,10,5,0.1,10,6,1
synthetic_003,geo_10_5_ling_10_vis_25,0.819,0.4527,0.3663,0.00333,10,5,0.1,25,7,1
synthetic_003,geo_10_5_ling_10_vis_50,0.819,0.5649,0.2541,0.001588,10,5,0.1,50,7,1
synthetic_003,geo_10_5_ling_20_vis_0,0.819,0.5977,0.2213,0.003161,10,5,0.2,0,4,1
synthetic_003,geo_10_5_ling_20_vis_10,0.819,0.5101,0.3089,0.003433,10,5,0.2,10,7,1
synthetic_003,geo_10_5_ling_20_vis_25,0.819,0.3691,0.4499,0.003749,10,5,0.2,25,7,1
synthetic_003,geo_10_5_ling_20_vis_50,0.819,0.2495,0.5695,0.00335,10,5,0.2,50,4,1
synthetic_003,geo_10_5_ling_30_vis_0,0.819,0.5889,0.2301,0.002876,10,5,0.3,0,7,1
synthetic_003,geo_10_5_ling_30_vis_10,0.819,0.4907,0.3284,0.003284,10,5,0.3,10,5,1
synthetic_003,geo_10_5_ling_30_vis_25,0.819,0.546,0.2731,0.0021,10,5,0.3,25,2,1
synthetic_003,geo_10_5_ling_30_vis_50,0.819,0.3282,0.4908,0.002727,10,5,0.3,50,7,1
synthetic_003,geo_20_10_ling_0_vis_0,0.819,0.5541,0.2649,0.002649,20,10,0.0,0,4,1
synthetic_003,geo_20_10_ling_0_vis_10,0.819,0.5207,0.2983,0.002486,20,10,0.0,10,7,1
synthetic_003,geo_20_10_ling_0_vis_25,0.819,0.5051,0.3139,0.002093,20,10,0.0,25,6,1
synthetic_003,geo_20_10_ling_0_vis_50,0.819,0.5027,0.3163,0.001581,20,10,0.0,50,2,1
synthetic_003,geo_20_10_ling_10_vis_0,0.819,0.5724,0.2466,0.002242,20,10,0.1,0,7,1
synthetic_003,geo_20_10_ling_10_vis_10,0.819,0.6122,0.2068,0.001591,20,10,0.1,10,6,1
synthetic_003,geo_20_10_ling_10_vis_25,0.819,0.3098,0.5092,0.003182,20,10,0.1,25,5,1
synthetic_003,geo_20_10_ling_10_vis_50,0.819,0.343,0.4761,0.002267,20,10,0.1,50,2,1
synthetic_003,geo_20_10_ling_20_vis_0,0.819,0.4378,0.3812,0.003177,20,10,0.2,0,4,1
synthetic_003,geo_20_10_ling_20_vis_10,0.819,0.3813,0.4378,0.003127,20,10,0.2,10,7,1
synthetic_003,geo_20_10_ling_20_vis_25,0.819,0.301,0.518,0.003047,20,10,0.2,25,4,1
synthetic_003,geo_20_10_ling_20_vis_50,0.819,0.1872,0.6319,0.002872,20,10,0.2,50,3,1
synthetic_003,geo_20_10_ling_30_vis_0,0.819,0.3716,0.4475,0.003442,20,10,0.3,0,3,1
synthetic_003,geo_20_10_ling_30_vis_10,0.819,0.3832,0.4358,0.002906,20,10,0.3,10,7,1
synthetic_003,geo_20_10_ling_30_vis_25,0.819,0.211,0.608,0.003378,20,10,0.3,25,2,1
synthetic_003,geo_20_10_ling_30_vis_50,0.819,0.323,0.496,0.002156,20,10,0.3,50,2,1
synthetic_003,geo_30_15_ling_0_vis_0,0.819,0.4915,0.3275,0.002183,30,15,0.0,0,4,1
